description,category
barbecue ribs with coleslaw and cornbread,Dinner
beef tacos with salsa and guacamole,Dinner
trail mix and water,Snack
boiled eggs with spinach and toast,Breakfast
peanut butter on crackers,Snack
croissant with jam and tea,Breakfast
boiled eggs with spinach and toast,Breakfast
trail mix and water,Snack
chicken quesadilla with guacamole,Lunch
popcorn with a glass of juice,Snack
roast chicken with carrots and potatoes,Dinner
beef tacos with salsa and guacamole,Dinner
turkey club sandwich with chips,Lunch
roast chicken with carrots and potatoes,Dinner
a handful of almonds and a granola bar,Snack
oatmeal with almonds and honey,Breakfast
a slice of pizza and a soda,Lunch
a smoothie and a protein bar,Snack
peanut butter on crackers,Snack
a handful of almonds and a granola bar,Snack
lasagna with a side of caesar salad,Dinner
lasagna with a side of caesar salad,Dinner
a handful of almonds and a granola bar,Snack
popcorn with a glass of juice,Snack
a handful of almonds and a granola bar,Snack
an apple and a piece of string cheese,Snack
carrot sticks and hummus,Snack
caesar salad with grilled salmon,Lunch
pork chops with apple sauce and steamed broccoli,Dinner
fruit salad with granola and a smoothie,Breakfast
pancakes and syrup with coffee,Breakfast
lasagna with a side of caesar salad,Dinner
a banana and a cup of yogurt,Breakfast
boiled eggs with spinach and toast,Breakfast
grilled salmon with asparagus and wild rice,Dinner
pork chops with apple sauce and steamed broccoli,Dinner
some raisins and yogurt,Snack
grilled chicken sandwich and iced tea,Lunch
grilled shrimp with quinoa and spinach,Dinner
turkey club sandwich with chips,Lunch
an apple and a piece of string cheese,Snack
pancakes and syrup with coffee,Breakfast
pancakes and syrup with coffee,Breakfast
vegetable stir fry with rice,Lunch
fruit salad with granola and a smoothie,Breakfast
popcorn with a glass of juice,Snack
peanut butter on crackers,Snack
burger fries and a diet coke,Lunch
a muffin and a glass of milk,Breakfast
dark chocolate and a cup of tea,Snack
pancakes and syrup with coffee,Breakfast
a muffin and a glass of milk,Breakfast
boiled eggs with spinach and toast,Breakfast
scrambled eggs with toast and bacon,Breakfast
beef tacos with salsa and guacamole,Dinner
barbecue ribs with coleslaw and cornbread,Dinner
carrot sticks and hummus,Snack
vegetable stir fry with rice,Lunch
a smoothie and a protein bar,Snack
turkey club sandwich with chips,Lunch
turkey club sandwich with chips,Lunch
burger fries and a diet coke,Lunch
a smoothie and a protein bar,Snack
chips and a soda,Snack
vegetable curry with naan bread,Dinner
grilled salmon with asparagus and wild rice,Dinner
chicken quesadilla with guacamole,Lunch
carrot sticks and hummus,Snack
barbecue ribs with coleslaw and cornbread,Dinner
turkey club sandwich with chips,Lunch
an apple and a piece of string cheese,Snack
grilled chicken sandwich and iced tea,Lunch
chicken quesadilla with guacamole,Lunch
tuna salad with crackers and water,Lunch
bagel with cream cheese and orange juice,Breakfast
chicken quesadilla with guacamole,Lunch
a muffin and a glass of milk,Breakfast
pork chops with apple sauce and steamed broccoli,Dinner
some raisins and yogurt,Snack
popcorn with a glass of juice,Snack
scrambled eggs with toast and bacon,Breakfast
trail mix and water,Snack
bowl of ramen and green tea,Lunch
a handful of almonds and a granola bar,Snack
barbecue ribs with coleslaw and cornbread,Dinner
burger fries and a diet coke,Lunch
a banana and a cup of yogurt,Breakfast
roast chicken with carrots and potatoes,Dinner
a muffin and a glass of milk,Breakfast
chips and a soda,Snack
BLT sandwich and lemonade,Lunch
lasagna with a side of caesar salad,Dinner
vegetable stir fry with rice,Lunch
chicken quesadilla with guacamole,Lunch
barbecue ribs with coleslaw and cornbread,Dinner
popcorn with a glass of juice,Snack
a handful of almonds and a granola bar,Snack
barbecue ribs with coleslaw and cornbread,Dinner
bagel with cream cheese and orange juice,Breakfast
steak with mashed potatoes and green beans,Dinner
fruit salad with granola and a smoothie,Breakfast
bagel with cream cheese and orange juice,Breakfast
bowl of ramen and green tea,Lunch
fruit salad with granola and a smoothie,Breakfast
beef tacos with salsa and guacamole,Dinner
scrambled eggs with toast and bacon,Breakfast
an apple and a piece of string cheese,Snack
pancakes and syrup with coffee,Breakfast
bowl of ramen and green tea,Lunch
