description,category
spaghetti bolognese with garlic bread,Dinner
grilled salmon with quinoa and steamed broccoli,Dinner
"tacos with salsa, guacamole, and sour cream",Dinner
"oatmeal with almonds, honey, and a sprinkle of cinnamon",Breakfast
"chicken quesadilla with guacamole, sour cream, and salsa",Lunch
grilled cheese sandwich with tomato soup,Lunch
grilled salmon with quinoa and steamed broccoli,Dinner
spaghetti bolognese with garlic bread,Dinner
"roast chicken with carrots, potatoes, and a side of green beans",Dinner
popcorn with a glass of freshly squeezed orange juice,Snack
caesar salad with grilled chicken and a side of garlic bread,Lunch
grilled cheese sandwich with tomato soup,Lunch
peanut butter on whole grain crackers with a side of apple slices,Breakfast
"beef tacos with salsa, guacamole, and shredded cheese",Dinner
"chicken quesadilla with guacamole, sour cream, and salsa",Lunch
a handful of almonds and a granola bar with a bottle of water,Snack
"trail mix with dried fruits and nuts, and a bottle of water",Snack
"oatmeal with almonds, honey, and a sprinkle of cinnamon",Breakfast
yogurt with granola and fresh berries,Snack
"trail mix with dried fruits and nuts, and a bottle of water",Snack
grilled cheese sandwich with tomato soup,Lunch
spaghetti bolognese with garlic bread,Dinner
spaghetti bolognese with garlic bread,Dinner
spaghetti bolognese with garlic bread,Dinner
grilled salmon with quinoa and steamed broccoli,Dinner
"boiled eggs with spinach, toast, and a side of avocado",Breakfast
caesar salad with grilled chicken and a side of garlic bread,Lunch
peanut butter on whole grain crackers with a side of apple slices,Breakfast
a handful of almonds and a granola bar with a bottle of water,Snack
a handful of almonds and a granola bar with a bottle of water,Snack
"trail mix with dried fruits and nuts, and a bottle of water",Snack
grilled cheese sandwich with tomato soup,Lunch
grilled salmon with quinoa and steamed broccoli,Dinner
turkey club sandwich with chips and a pickle,Lunch
a slice of pizza with pepperoni and a soda,Lunch
spaghetti bolognese with garlic bread,Dinner
popcorn with a glass of freshly squeezed orange juice,Snack
turkey club sandwich with chips and a pickle,Lunch
caesar salad with grilled chicken and a side of garlic bread,Lunch
caesar salad with grilled chicken and a side of garlic bread,Lunch
"oatmeal with almonds, honey, and a sprinkle of cinnamon",Breakfast
"roast chicken with carrots, potatoes, and a side of green beans",Dinner
popcorn with a glass of freshly squeezed orange juice,Snack
caesar salad with grilled chicken and a side of garlic bread,Lunch
popcorn with a glass of freshly squeezed orange juice,Snack
grilled cheese sandwich with tomato soup,Lunch
"chicken quesadilla with guacamole, sour cream, and salsa",Lunch
hummus with carrot sticks and cucumber slices,Snack
"boiled eggs with spinach, toast, and a side of avocado",Breakfast
hummus with carrot sticks and cucumber slices,Snack
spaghetti bolognese with garlic bread,Dinner
"boiled eggs with spinach, toast, and a side of avocado",Breakfast
hummus with carrot sticks and cucumber slices,Snack
"oatmeal with almonds, honey, and a sprinkle of cinnamon",Breakfast
popcorn with a glass of freshly squeezed orange juice,Snack
"croissant with strawberry jam, butter, and a cup of tea",Breakfast
"trail mix with dried fruits and nuts, and a bottle of water",Snack
grilled salmon with quinoa and steamed broccoli,Dinner
"smoothie made with berries, banana, and spinach, and a protein bar",Breakfast
hummus with carrot sticks and cucumber slices,Snack
a handful of almonds and a granola bar with a bottle of water,Snack
grilled cheese sandwich with tomato soup,Lunch
"chicken quesadilla with guacamole, sour cream, and salsa",Lunch
"chicken quesadilla with guacamole, sour cream, and salsa",Lunch
hummus with carrot sticks and cucumber slices,Snack
grilled cheese sandwich with tomato soup,Lunch
"oatmeal with almonds, honey, and a sprinkle of cinnamon",Breakfast
"chicken quesadilla with guacamole, sour cream, and salsa",Lunch
popcorn with a glass of freshly squeezed orange juice,Snack
a slice of pizza with pepperoni and a soda,Lunch
popcorn with a glass of freshly squeezed orange juice,Snack
"trail mix with dried fruits and nuts, and a bottle of water",Snack
"tacos with salsa, guacamole, and sour cream",Dinner
a handful of almonds and a granola bar with a bottle of water,Snack
"roast chicken with carrots, potatoes, and a side of green beans",Dinner
grilled salmon with quinoa and steamed broccoli,Dinner
spaghetti bolognese with garlic bread,Dinner
"smoothie made with berries, banana, and spinach, and a protein bar",Breakfast
"roast chicken with carrots, potatoes, and a side of green beans",Dinner
"smoothie made with berries, banana, and spinach, and a protein bar",Breakfast
"trail mix with dried fruits and nuts, and a bottle of water",Snack
"oatmeal with almonds, honey, and a sprinkle of cinnamon",Breakfast
a handful of almonds and a granola bar with a bottle of water,Snack
"smoothie made with berries, banana, and spinach, and a protein bar",Breakfast
"tacos with salsa, guacamole, and sour cream",Dinner
a slice of pizza with pepperoni and a soda,Lunch
peanut butter on whole grain crackers with a side of apple slices,Breakfast
a handful of almonds and a granola bar with a bottle of water,Snack
"roast chicken with carrots, potatoes, and a side of green beans",Dinner
grilled salmon with quinoa and steamed broccoli,Dinner
grilled cheese sandwich with tomato soup,Lunch
"oatmeal with almonds, honey, and a sprinkle of cinnamon",Breakfast
"croissant with strawberry jam, butter, and a cup of tea",Breakfast
grilled cheese sandwich with tomato soup,Lunch
hummus with carrot sticks and cucumber slices,Snack
peanut butter on whole grain crackers with a side of apple slices,Breakfast
yogurt with granola and fresh berries,Snack
"roast chicken with carrots, potatoes, and a side of green beans",Dinner
a slice of pizza with pepperoni and a soda,Lunch
"tacos with salsa, guacamole, and sour cream",Dinner
